ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CMG,2010,Q1,1.2,1.2,0.0,1.19,23645000.0,37847000.0,37847000.0,0.0,37847000.0,0.0,227925000.0,409686000.0,0.0,196000.0,0.0,69872000.0,227925000.0,181761000.0,0.0,120465000.0,61296000.0,196000.0,61492000.0,409686000.0,31500000.0,31483000.0,31814000.0
CMG,2010,Q2,1.48,1.48,0.0,1.46,28840000.0,46461000.0,46461000.0,0.0,46461000.0,0.0,256712000.0,466841000.0,0.0,342000.0,0.0,83109000.0,256712000.0,210129000.0,0.0,135170000.0,74959000.0,342000.0,75301000.0,466841000.0,31400000.0,31373000.0,31802000.0
CMG,2010,Q3,1.55,1.55,0.0,1.52,29737000.0,48228000.0,48228000.0,0.0,48228000.0,0.0,260922000.0,476874000.0,0.0,381000.0,0.0,85499000.0,260922000.0,215952000.0,0.0,138368000.0,77584000.0,381000.0,77965000.0,476874000.0,31100000.0,31031000.0,31629000.0
CMG,2010,Q4,1.5,1.5,0.0,1.47,27858000.0,46445000.0,46445000.0,0.0,46445000.0,0.0,269121000.0,482521000.0,0.0,311000.0,0.0,83014000.0,269121000.0,213400000.0,0.0,139408000.0,73992000.0,311000.0,74303000.0,482521000.0,31200000.0,31234000.0,31735000.0
CMG,2010,FY,5.73,5.73,0.0,5.64,110080000.0,178981000.0,178981000.0,0.0,178981000.0,0.0,1014680000.0,1835922000.0,0.0,1230000.0,0.0,321494000.0,1014680000.0,821242000.0,0.0,533411000.0,287831000.0,1230000.0,289061000.0,1835922000.0,31200000.0,31234000.0,31735000.0
CMG,2011,Q1,1.49,1.49,0.0,1.46,28726000.0,46382000.0,46382000.0,0.0,46382000.0,0.0,288196000.0,509384000.0,0.0,287000.0,0.0,89601000.0,288196000.0,221188000.0,0.0,146367000.0,74821000.0,287000.0,75108000.0,509384000.0,31100000.0,31082000.0,31717000.0
CMG,2011,Q2,1.63,1.63,0.0,1.59,31200000.0,50657000.0,50657000.0,0.0,50657000.0,0.0,325826000.0,571561000.0,0.0,-2006000.0,0.0,104189000.0,325826000.0,245735000.0,0.0,161872000.0,83863000.0,-2006000.0,81857000.0,571561000.0,31100000.0,31167000.0,31761000.0
CMG,2011,Q3,1.93,1.93,0.0,1.9,38025000.0,60433000.0,60433000.0,0.0,60433000.0,0.0,333839000.0,591854000.0,0.0,448000.0,0.0,100421000.0,333839000.0,258015000.0,0.0,160005000.0,98010000.0,448000.0,98458000.0,591854000.0,31300000.0,31331000.0,31832000.0
CMG,2011,Q4,1.84,1.84,0.0,1.81,36809000.0,57473000.0,57473000.0,0.0,57473000.0,0.0,333978000.0,596749000.0,0.0,414000.0,0.0,106423000.0,333978000.0,262771000.0,0.0,168903000.0,93868000.0,414000.0,94282000.0,596749000.0,31200000.0,31217000.0,31775000.0
CMG,2011,FY,6.89,6.89,0.0,6.76,134760000.0,214945000.0,214945000.0,0.0,214945000.0,0.0,1281839000.0,2269548000.0,0.0,-857000.0,0.0,400634000.0,1281839000.0,987709000.0,0.0,637147000.0,350562000.0,-857000.0,349705000.0,2269548000.0,31200000.0,31217000.0,31775000.0
CMG,2012,Q1,2.0,2.0,0.0,1.97,39994000.0,62664000.0,62664000.0,0.0,62664000.0,0.0,358575000.0,640603000.0,0.0,434000.0,0.0,115513000.0,358575000.0,282028000.0,0.0,179804000.0,102224000.0,434000.0,102658000.0,640603000.0,31300000.0,31410000.0,31846000.0
CMG,2012,Q2,2.58,2.58,0.0,2.56,52484000.0,81683000.0,81683000.0,0.0,81683000.0,0.0,381412000.0,690932000.0,0.0,377000.0,0.0,108648000.0,381412000.0,309520000.0,0.0,175730000.0,133790000.0,377000.0,134167000.0,690932000.0,31700000.0,31696000.0,31951000.0
CMG,2012,Q3,2.28,2.28,0.0,2.27,45910000.0,72300000.0,72300000.0,0.0,72300000.0,0.0,391221000.0,700528000.0,0.0,547000.0,0.0,122334000.0,391221000.0,309307000.0,0.0,191644000.0,117663000.0,547000.0,118210000.0,700528000.0,31700000.0,31643000.0,31846000.0
CMG,2012,Q4,1.96,1.96,0.0,1.95,41297000.0,61353000.0,61353000.0,0.0,61353000.0,0.0,401631000.0,699161000.0,0.0,462000.0,0.0,123524000.0,401631000.0,297530000.0,0.0,195342000.0,102188000.0,462000.0,102650000.0,699161000.0,31500000.0,31513000.0,31783000.0
CMG,2012,FY,8.82,8.82,0.0,8.75,179685000.0,278000000.0,278000000.0,0.0,278000000.0,0.0,1532839000.0,2731224000.0,0.0,1820000.0,0.0,470019000.0,1532839000.0,1198385000.0,0.0,742520000.0,455865000.0,1820000.0,457685000.0,2731224000.0,31500000.0,31513000.0,31783000.0
CMG,2013,Q1,2.47,2.47,0.0,2.45,43726000.0,76584000.0,76584000.0,0.0,76584000.0,0.0,411058000.0,726751000.0,0.0,266000.0,0.0,120867000.0,411058000.0,315693000.0,0.0,195649000.0,120044000.0,266000.0,120310000.0,726751000.0,31000000.0,31012000.0,31229000.0
CMG,2013,Q2,2.84,2.84,0.0,2.82,58895000.0,87853000.0,87853000.0,0.0,87853000.0,0.0,456314000.0,816786000.0,0.0,330000.0,0.0,137248000.0,456314000.0,360472000.0,0.0,214054000.0,146418000.0,330000.0,146748000.0,816786000.0,30900000.0,30901000.0,31176000.0
CMG,2013,Q3,2.7,2.7,0.0,2.66,54540000.0,83379000.0,83379000.0,0.0,83379000.0,0.0,466212000.0,826907000.0,0.0,765000.0,0.0,141786000.0,466212000.0,360695000.0,0.0,223541000.0,137154000.0,765000.0,137919000.0,826907000.0,30900000.0,30897000.0,31296000.0
CMG,2013,Q4,2.57,2.57,0.0,2.54,49872000.0,79622000.0,79622000.0,0.0,79622000.0,0.0,479730000.0,844147000.0,0.0,390000.0,0.0,151233000.0,479730000.0,364417000.0,0.0,235313000.0,129104000.0,390000.0,129494000.0,844147000.0,30900000.0,30957000.0,31281000.0
CMG,2013,FY,10.58,10.58,0.0,10.47,207033000.0,327438000.0,327438000.0,0.0,327438000.0,0.0,1813314000.0,3214591000.0,0.0,1751000.0,0.0,551134000.0,1813314000.0,1401277000.0,0.0,868557000.0,532720000.0,1751000.0,534471000.0,3214591000.0,30900000.0,30957000.0,31281000.0
CMG,2014,Q1,2.67,2.67,0.0,2.64,53270000.0,83069000.0,83069000.0,0.0,83069000.0,0.0,520000000.0,904163000.0,0.0,689000.0,0.0,162054000.0,520000000.0,384163000.0,0.0,248513000.0,135650000.0,689000.0,136339000.0,904163000.0,31100000.0,31061000.0,31486000.0
CMG,2014,Q2,3.55,3.55,0.0,3.5,70716000.0,110270000.0,110270000.0,0.0,110270000.0,0.0,591677000.0,1050073000.0,0.0,0.0,0.0,74879000.0,591677000.0,458396000.0,0.0,278554000.0,179842000.0,1144000.0,180986000.0,1050073000.0,31100000.0,31049000.0,31474000.0
CMG,2014,Q3,4.22,4.22,0.0,4.15,77420000.0,130801000.0,130801000.0,0.0,130801000.0,0.0,602423000.0,1084222000.0,0.0,0.0,0.0,71172000.0,602423000.0,481799000.0,0.0,274363000.0,207436000.0,785000.0,208221000.0,1084222000.0,31000000.0,31020000.0,31547000.0
