IDXX,2010,Q1,0.57,0.57,0.55,15088000.0,44416000.0,33028000.0,33028000.0,33026000.0,2000.0,126164000.0,268525000.0,16709000.0,32808000.0,126164000.0,142361000.0,365000.0,53000.0,93933000.0,48428000.0,-312000.0,48116000.0,268525000.0,57900000.0,58033000.0,60029000.0,
IDXX,2010,Q2,0.64,0.64,0.62,17087000.0,44167000.0,37197000.0,37197000.0,37193000.0,4000.0,132198000.0,281482000.0,17206000.0,33076000.0,132198000.0,149284000.0,689000.0,138000.0,94449000.0,54835000.0,-551000.0,54284000.0,281482000.0,58100000.0,57747000.0,59646000.0,
IDXX,2010,Q3,0.6,0.6,0.59,14548000.0,44486000.0,34715000.0,34715000.0,34694000.0,21000.0,127421000.0,269628000.0,17203000.0,30704000.0,127421000.0,142207000.0,687000.0,136000.0,92393000.0,49814000.0,-551000.0,49263000.0,269628000.0,57800000.0,57620000.0,59276000.0,
IDXX,2010,Q4,0.64,0.64,0.61,14086000.0,36380000.0,36380000.0,36371000.0,9000.0,138986000.0,283757000.0,17479000.0,76488000.0,138986000.0,144771000.0,674000.0,336000.0,93967000.0,50804000.0,-338000.0,50466000.0,283757000.0,57700000.0,57713000.0,59559000.0,
IDXX,2010,FY,2.45,2.45,2.37,60809000.0,179626000.0,141320000.0,141320000.0,141284000.0,36000.0,524769000.0,1103392000.0,68597000.0,126519000.0,524769000.0,578623000.0,2415000.0,663000.0,374742000.0,203881000.0,-1752000.0,202129000.0,1103392000.0,57700000.0,57713000.0,59559000.0,
IDXX,2011,Q1,0.64,0.64,0.62,16567000.0,50985000.0,36606000.0,36606000.0,36612000.0,-6000.0,137747000.0,292672000.0,17812000.0,32596000.0,137747000.0,154925000.0,728000.0,369000.0,101393000.0,53532000.0,-359000.0,53173000.0,292672000.0,57200000.0,57457000.0,59090000.0,
IDXX,2011,Q2,0.85,0.85,0.83,22281000.0,50974000.0,48654000.0,48654000.0,48657000.0,-3000.0,143829000.0,317862000.0,18621000.0,33140000.0,143829000.0,174033000.0,782000.0,419000.0,102735000.0,71298000.0,-363000.0,70935000.0,317862000.0,57200000.0,57276000.0,58727000.0,
IDXX,2011,Q3,0.68,0.68,0.66,17122000.0,50682000.0,38496000.0,38496000.0,38507000.0,-11000.0,142287000.0,300954000.0,19406000.0,32483000.0,142287000.0,158667000.0,928000.0,450000.0,102571000.0,56096000.0,-478000.0,55618000.0,300954000.0,56600000.0,56699000.0,58007000.0,
IDXX,2011,Q4,0.68,0.68,0.67,16698000.0,37998000.0,37998000.0,38010000.0,-12000.0,148320000.0,307201000.0,20203000.0,83379000.0,148320000.0,158881000.0,1109000.0,506000.0,103582000.0,55299000.0,-603000.0,54696000.0,307201000.0,56800000.0,56790000.0,58214000.0,
IDXX,2011,FY,2.85,2.85,2.78,72668000.0,204850000.0,161754000.0,161754000.0,161786000.0,-32000.0,572183000.0,1218689000.0,76042000.0,129389000.0,572183000.0,646506000.0,3547000.0,1744000.0,410281000.0,236225000.0,-1803000.0,234422000.0,1218689000.0,56800000.0,56790000.0,58214000.0,
