var1(t-1),var2(t-1),var1(t+29),var2(t+29)
3218590000.0,1961.050049,4108460000.0,2075.149902
3000200000.0,1953.030029,3385800000.0,2071.179932
3239860000.0,1978.089966,4216880000.0,2065.889893
3630680000.0,1995.310059,4698110000.0,2090.350098
4183790000.0,1990.199951,4008940000.0,2089.409912
6021240000.0,1958.030029,4256200000.0,2079.360107
3269350000.0,1966.969971,3760020000.0,2104.050049
3808260000.0,1942.73999,4272060000.0,2109.790039
3190530000.0,1938.76001,4078870000.0,2102.310059
4091530000.0,1932.23999,4051890000.0,2099.929932
3721870000.0,1931.339966,4369020000.0,2099.199951
4326660000.0,1881.77002,3882350000.0,2078.580078
4132390000.0,1884.089966,3821440000.0,2081.719971
4525070000.0,1920.030029,3692410000.0,2075.0
3983600000.0,1923.819946,4016370000.0,2045.969971
4378570000.0,1951.359985,4278750000.0,2023.040039
4334490000.0,1987.050049,3741240000.0,2053.189941
4202400000.0,1979.920044,4427350000.0,2050.439941
4666470000.0,1995.829956,3926390000.0,2083.580078
3939140000.0,2013.430054,3628110000.0,2081.23999
3706900000.0,2014.890015,3929600000.0,2089.169922
2893250000.0,2017.459961,3587980000.0,2086.590088
3401920000.0,2003.689941,3884930000.0,2089.139893
3644590000.0,1994.23999,2852940000.0,2088.870117
3746290000.0,2023.859985,1466840000.0,2090.110107
3595430000.0,2033.109985,4275030000.0,2080.409912
3287320000.0,2033.660034,3712120000.0,2102.629883
3331500000.0,2030.77002,3950640000.0,2079.51001
3627790000.0,2018.939941,4306490000.0,2049.620117
4430850000.0,2052.51001,4214910000.0,2091.689941
4108460000.0,2075.149902,4043820000.0,2077.070068
3385800000.0,2071.179932,4173570000.0,2063.590088
4216880000.0,2065.889893,4385250000.0,2047.619995
4698110000.0,2090.350098,3715150000.0,2052.22998
4008940000.0,2089.409912,4301060000.0,2012.369995
4256200000.0,2079.360107,4612440000.0,2021.939941
3760020000.0,2104.050049,4353540000.0,2043.410034
4272060000.0,2109.790039,4635450000.0,2073.070068
4078870000.0,2102.310059,4327390000.0,2041.890015
4051890000.0,2099.929932,6683070000.0,2005.550049
4369020000.0,2099.199951,3760280000.0,2021.150024
3882350000.0,2078.580078,3520860000.0,2038.969971
3821440000.0,2081.719971,3484090000.0,2064.290039
3692410000.0,2075.0,1411860000.0,2060.98999
4016370000.0,2045.969971,2492510000.0,2056.5
4278750000.0,2023.040039,2542000000.0,2078.360107
3741240000.0,2053.189941,2367430000.0,2063.360107
4427350000.0,2050.439941,2655330000.0,2043.939941
3926390000.0,2083.580078,4304880000.0,2012.660034
3628110000.0,2081.23999,3706620000.0,2016.709961
3929600000.0,2089.169922,4336660000.0,1990.26001
3587980000.0,2086.590088,5076590000.0,1943.089966
3884930000.0,2089.139893,4664940000.0,1922.030029
2852940000.0,2088.870117,4607290000.0,1923.670044
1466840000.0,2090.110107,4887260000.0,1938.680054
4275030000.0,2080.409912,5087030000.0,1890.280029
3712120000.0,2102.629883,5241110000.0,1921.839966
3950640000.0,2079.51001,5468460000.0,1880.329956
4306490000.0,2049.620117,4928350000.0,1881.329956
4214910000.0,2091.689941,6416070000.0,1859.329956
4043820000.0,2077.070068,5078810000.0,1868.98999
