var1(t-1),var2(t-1),var1(t+44),var2(t+44)
2708700000.0,2058.199951,3668900000.0,2044.160034
3799120000.0,2020.579956,3406570000.0,2040.23999
4460110000.0,2002.609985,3405860000.0,2065.949951
3805480000.0,2025.900024,3498560000.0,2053.399902
3934010000.0,2062.139893,3295600000.0,2081.189941
3364140000.0,2044.810059,3221840000.0,2074.280029
3456460000.0,2028.26001,4128210000.0,2099.5
4107300000.0,2023.030029,3305220000.0,2089.27002
4378680000.0,2011.27002,5554120000.0,2108.100098
4276720000.0,1992.670044,3267960000.0,2104.419922
4056410000.0,2019.420044,3189820000.0,2091.5
3944340000.0,2022.550049,3521140000.0,2061.050049
3730070000.0,2032.119995,3510670000.0,2056.149902
4176050000.0,2063.149902,3008550000.0,2061.02002
3573560000.0,2051.820068,2917690000.0,2086.23999
3465760000.0,2057.090088,3376550000.0,2067.889893
3329810000.0,2029.550049,3543270000.0,2059.689941
4067530000.0,2002.160034,3095960000.0,2066.959961
4127140000.0,2021.25,3302970000.0,2080.620117
4568650000.0,1994.98999,3065510000.0,2076.330078
4008330000.0,2020.849976,3265330000.0,2081.899902
4615900000.0,2050.030029,3172360000.0,2091.179932
4141920000.0,2041.51001,3156200000.0,2102.060059
3821990000.0,2062.52002,2908420000.0,2092.429932
4232970000.0,2055.469971,3301270000.0,2095.840088
3549540000.0,2046.73999,4013760000.0,2106.629883
3669850000.0,2068.590088,3434120000.0,2104.98999
3596860000.0,2068.530029,3627600000.0,2081.179932
3788350000.0,2088.47998,3000160000.0,2100.399902
3527450000.0,2096.98999,3243410000.0,2097.290039
3361750000.0,2100.340088,3348480000.0,2107.959961
3370020000.0,2099.679932,3636670000.0,2112.929932
3247100000.0,2097.449951,3375780000.0,2117.689941
3281600000.0,2110.300049,3438750000.0,2108.919922
3093680000.0,2109.659912,3546270000.0,2114.76001
3199840000.0,2115.47998,4074970000.0,2106.850098
3312340000.0,2113.860107,4509680000.0,2085.51001
3408690000.0,2110.73999,3379390000.0,2108.290039
3547380000.0,2104.5,3091580000.0,2114.48999
3409490000.0,2117.389893,3793950000.0,2089.459961
3262300000.0,2107.780029,3792210000.0,2080.149902
3421110000.0,2098.530029,3676640000.0,2088.0
3103030000.0,2101.040039,3399440000.0,2116.100098
3853570000.0,2071.26001,2992670000.0,2105.330078
3349090000.0,2079.429932,3139520000.0,2099.120117
3668900000.0,2044.160034,3374260000.0,2098.47998
3406570000.0,2040.23999,3225740000.0,2121.100098
3405860000.0,2065.949951,3092080000.0,2122.72998
3498560000.0,2053.399902,2888190000.0,2129.199951
3295600000.0,2081.189941,3296030000.0,2127.830078
3221840000.0,2074.280029,3025880000.0,2125.850098
4128210000.0,2099.5,3070460000.0,2130.820068
3305220000.0,2089.27002,2571860000.0,2126.060059
5554120000.0,2108.100098,3342130000.0,2104.199951
3267960000.0,2104.419922,3127960000.0,2123.47998
3189820000.0,2091.5,2980350000.0,2120.790039
3521140000.0,2061.050049,3927390000.0,2107.389893
3510670000.0,2056.149902,3011710000.0,2111.72998
3008550000.0,2061.02002,3049350000.0,2109.600098
2917690000.0,2086.23999,3099980000.0,2114.070068
3376550000.0,2067.889893,3200050000.0,2095.840088
3543270000.0,2059.689941,3243690000.0,2092.830078
3095960000.0,2066.959961,2917150000.0,2079.280029
3302970000.0,2080.620117,3034580000.0,2080.149902
3065510000.0,2076.330078,3414320000.0,2105.199951
3265330000.0,2081.899902,3128600000.0,2108.860107
3172360000.0,2091.179932,2719400000.0,2094.110107
3156200000.0,2102.060059,3061570000.0,2084.429932
2908420000.0,2092.429932,2919900000.0,2096.290039
3301270000.0,2095.840088,3222240000.0,2100.439941
4013760000.0,2106.629883,3520360000.0,2121.23999
3434120000.0,2104.98999,4449810000.0,2109.98999
3627600000.0,2081.179932,3030020000.0,2122.850098
3000160000.0,2100.399902,3091190000.0,2124.199951
3243410000.0,2097.290039,3102480000.0,2108.580078
3348480000.0,2107.959961,3214610000.0,2102.310059
3636670000.0,2112.929932,5025470000.0,2101.48999
3375780000.0,2117.689941,3678960000.0,2057.639893
3438750000.0,2108.919922,4078540000.0,2063.110107
3546270000.0,2114.76001,3727260000.0,2077.419922
4074970000.0,2106.850098,2996540000.0,2076.780029
4509680000.0,2085.51001,3486360000.0,2068.76001
3379390000.0,2108.290039,4458660000.0,2081.340088
3091580000.0,2114.48999,3608780000.0,2046.680054
3793950000.0,2089.459961,3446810000.0,2051.310059
3792210000.0,2080.149902,3065070000.0,2076.620117
3676640000.0,2088.0,3096730000.0,2099.600098
3399440000.0,2116.100098,3002120000.0,2108.949951
2992670000.0,2105.330078,3261810000.0,2107.399902
3139520000.0,2099.120117,3227080000.0,2124.290039
3374260000.0,2098.47998,3362750000.0,2126.639893
3225740000.0,2121.100098,3245870000.0,2128.280029
3092080000.0,2122.72998,3343690000.0,2119.209961
2888190000.0,2129.199951,3694070000.0,2114.149902
3296030000.0,2127.830078,3772810000.0,2102.149902
